tensor(0.4313, device='cuda:0')
tensor(0.6588, device='cuda:0')
tensor(0.6730, device='cuda:0')
tensor(0.6682, device='cuda:0')
tensor(0.6493, device='cuda:0')
tensor(0.6588, device='cuda:0')
tensor(0.6445, device='cuda:0')
tensor(0.6635, device='cuda:0')
tensor(0.6351, device='cuda:0')
tensor(0.6682, device='cuda:0')
tensor(0.6540, device='cuda:0')
tensor(0.6682, device='cuda:0')
tensor(0.6493, device='cuda:0')
tensor(0.6730, device='cuda:0')
tensor(0.6730, device='cuda:0')
tensor(0.6588, device='cuda:0')
tensor(0.6351, device='cuda:0')
tensor(0.6445, device='cuda:0')
tensor(0.6682, device='cuda:0')
tensor(0.6540, device='cuda:0')
tensor(0.6588, device='cuda:0')
tensor(0.6398, device='cuda:0')
tensor(0.6303, device='cuda:0')
tensor(0.6303, device='cuda:0')
tensor(0.6066, device='cuda:0')
tensor(0.6540, device='cuda:0')
tensor(0.6303, device='cuda:0')
tensor(0.6540, device='cuda:0')
tensor(0.6635, device='cuda:0')
tensor(0.6303, device='cuda:0')
Acc: [0.7103080749511719]
tensor(0.4455, device='cuda:0')
tensor(0.6682, device='cuda:0')
tensor(0.6872, device='cuda:0')
tensor(0.6825, device='cuda:0')
tensor(0.6540, device='cuda:0')
tensor(0.6588, device='cuda:0')
tensor(0.6588, device='cuda:0')
tensor(0.6825, device='cuda:0')
tensor(0.6588, device='cuda:0')
tensor(0.6588, device='cuda:0')
tensor(0.6540, device='cuda:0')
tensor(0.6967, device='cuda:0')
tensor(0.6730, device='cuda:0')
tensor(0.6540, device='cuda:0')
tensor(0.6777, device='cuda:0')
tensor(0.6777, device='cuda:0')
tensor(0.6588, device='cuda:0')
tensor(0.6351, device='cuda:0')
tensor(0.6493, device='cuda:0')
tensor(0.6398, device='cuda:0')
tensor(0.6445, device='cuda:0')
tensor(0.6682, device='cuda:0')
tensor(0.6588, device='cuda:0')
tensor(0.6540, device='cuda:0')
tensor(0.6588, device='cuda:0')
tensor(0.6825, device='cuda:0')
tensor(0.6351, device='cuda:0')
tensor(0.6351, device='cuda:0')
tensor(0.6256, device='cuda:0')
tensor(0.6066, device='cuda:0')
Acc: [0.7103080749511719, 0.6913507580757141]
tensor(0.4502, device='cuda:0')
tensor(0.7488, device='cuda:0')
tensor(0.7488, device='cuda:0')
tensor(0.7251, device='cuda:0')
tensor(0.7393, device='cuda:0')
tensor(0.7299, device='cuda:0')
tensor(0.7204, device='cuda:0')
tensor(0.7251, device='cuda:0')
tensor(0.7156, device='cuda:0')
tensor(0.7299, device='cuda:0')
tensor(0.7251, device='cuda:0')
tensor(0.7441, device='cuda:0')
tensor(0.7204, device='cuda:0')
tensor(0.7346, device='cuda:0')
tensor(0.7014, device='cuda:0')
tensor(0.6872, device='cuda:0')
tensor(0.7062, device='cuda:0')
tensor(0.7156, device='cuda:0')
tensor(0.7156, device='cuda:0')
tensor(0.7109, device='cuda:0')
tensor(0.6919, device='cuda:0')
tensor(0.6730, device='cuda:0')
tensor(0.7014, device='cuda:0')
tensor(0.7109, device='cuda:0')
tensor(0.7062, device='cuda:0')
tensor(0.7204, device='cuda:0')
tensor(0.7204, device='cuda:0')
tensor(0.7156, device='cuda:0')
tensor(0.7156, device='cuda:0')
tensor(0.7251, device='cuda:0')
Acc: [0.7103080749511719, 0.6913507580757141, 0.7097156643867493]
tensor(0.4739, device='cuda:0')
tensor(0.7109, device='cuda:0')
tensor(0.7204, device='cuda:0')
tensor(0.7583, device='cuda:0')
tensor(0.7062, device='cuda:0')
tensor(0.7014, device='cuda:0')
tensor(0.7156, device='cuda:0')
tensor(0.7204, device='cuda:0')
tensor(0.7346, device='cuda:0')
tensor(0.7346, device='cuda:0')
tensor(0.7299, device='cuda:0')
tensor(0.7204, device='cuda:0')
tensor(0.7109, device='cuda:0')
tensor(0.7299, device='cuda:0')
tensor(0.6919, device='cuda:0')
tensor(0.6919, device='cuda:0')
tensor(0.7204, device='cuda:0')
tensor(0.6777, device='cuda:0')
tensor(0.6872, device='cuda:0')
tensor(0.7204, device='cuda:0')
tensor(0.6919, device='cuda:0')
tensor(0.7156, device='cuda:0')
tensor(0.7156, device='cuda:0')
tensor(0.7062, device='cuda:0')
tensor(0.6967, device='cuda:0')
tensor(0.6967, device='cuda:0')
tensor(0.6825, device='cuda:0')
tensor(0.7299, device='cuda:0')
tensor(0.7156, device='cuda:0')
tensor(0.7062, device='cuda:0')
Acc: [0.7103080749511719, 0.6913507580757141, 0.7097156643867493, 0.7156398296356201]
tensor(0.4455, device='cuda:0')
tensor(0.7109, device='cuda:0')
tensor(0.7488, device='cuda:0')
tensor(0.7536, device='cuda:0')
tensor(0.7488, device='cuda:0')
tensor(0.7156, device='cuda:0')
tensor(0.7346, device='cuda:0')
tensor(0.7204, device='cuda:0')
tensor(0.7251, device='cuda:0')
tensor(0.7441, device='cuda:0')
tensor(0.7346, device='cuda:0')
tensor(0.7393, device='cuda:0')
tensor(0.7062, device='cuda:0')
tensor(0.7109, device='cuda:0')
tensor(0.7204, device='cuda:0')
tensor(0.7488, device='cuda:0')
tensor(0.7109, device='cuda:0')
tensor(0.7109, device='cuda:0')
tensor(0.6919, device='cuda:0')
tensor(0.7109, device='cuda:0')
